Predicted	Actual
[start] MonpaBalemu dʒ a ŋ [end]	[start] MonpaBalemu dʒ a ŋ [end]
[start] MonpaBalemu n a n [end]	[start] MonpaBalemu n a n [end]
[start] MonpaBalemu n a n [end]	[start] MonpaBalemu n a n [end]
[start] MonpaBalemu kʰ a ŋ s i [end]	[start] MonpaBalemu kʰ a ŋ dʒ i l a [end]
[start] MonpaBalemu b i ŋ a ŋ [end]	[start] MonpaBalemu b i j a ŋ ɾ a [end]
[start] MonpaBalemu l e s i [end]	[start] MonpaBalemu l e i s i [end]
[start] MonpaBalemu o m ʃ a [end]	[start] MonpaBalemu o m ʃ a [end]
[start] MonpaBalemu t a ŋ p u [end]	[start] MonpaBalemu t a ŋ p u [end]
[start] MonpaBalemu tʃʰ a ŋ l u ŋ [end]	[start] MonpaBalemu tʃʰ a ŋ l o ŋ [end]
[start] MonpaBalemu l u s p u [end]	[start] MonpaBalemu l u s p u [end]
[start] MonpaBalemu kʰ a ŋ [end]	[start] MonpaBalemu kʰ a ŋ [end]
[start] MonpaBalemu l i [end]	[start] MonpaBalemu l i [end]
[start] MonpaBalemu m u m b a t i [end]	[start] MonpaBalemu m u m b a t i [end]
[start] MonpaBalemu ɲ a m u [end]	[start] MonpaBalemu ɲ i m b u [end]
[start] MonpaBalemu g a m d i [end]	[start] MonpaBalemu g a m d i [end]
[start] MonpaBalemu kʰ a m u [end]	[start] MonpaBalemu kʰ a m u ŋ [end]
[start] MonpaBalemu m u k p a [end]	[start] MonpaBalemu m ŭ k p a [end]
[start] MonpaBalemu pʰ i n a ŋ [end]	[start] MonpaBalemu pʰ i n a ŋ [end]
[start] MonpaBalemu z a m t̪ e [end]	[start] MonpaBalemu z a m ĭ n [end]
[start] MonpaBalemu g a ʃ a [end]	[start] MonpaBalemu g a ʃ a [end]
[start] MonpaBalemu kʰ u [end]	[start] MonpaBalemu kʰ u [end]
[start] MonpaBalemu k o t a ŋ [end]	[start] MonpaBalemu k o t a ŋ [end]
[start] MonpaBalemu g o i tʰ a m [end]	[start] MonpaBalemu k o tʰ a m [end]
[start] MonpaBalemu b a n d u [end]	[start] MonpaBalemu b a n tʰ o [end]
[start] MonpaBalemu j e n [end]	[start] MonpaBalemu j e n [end]
[start] MonpaBalemu a n a [end]	[start] MonpaBalemu a n a [end]
[start] MonpaBalemu s o ŋ tʰ u r [end]	[start] MonpaBalemu s o ŋ tʰ u r [end]
[start] MonpaBalemu t o ŋ p a [end]	[start] MonpaBalemu t o ŋ p a [end]
[start] MonpaBalemu ɲ i ɾ i [end]	[start] MonpaBalemu ɲ i ɾ i [end]
[start] MonpaBalemu m i ŋ [end]	[start] MonpaBalemu m i ŋ [end]
[start] MonpaBalemu tʰ a ɾ i ŋ b u [end]	[start] MonpaBalemu tʰ a r i ŋ b u [end]
[start] MonpaBalemu dʒ o k p u [end]	[start] MonpaBalemu dʒ o k p u [end]
[start] MonpaBalemu s i [end]	[start] MonpaBalemu s i [end]
[start] MonpaBalemu a p a [end]	[start] MonpaBalemu a p a [end]
[start] MonpaBalemu m i [end]	[start] MonpaBalemu m i [end]
[start] MonpaBalemu ŋ a [end]	[start] MonpaBalemu ŋ a [end]
[start] MonpaBalemu ŋ a [end]	[start] MonpaBalemu ŋ a [end]
[start] MonpaBalemu m o m n a ŋ [end]	[start] MonpaBalemu m o m n a ŋ [end]
[start] MonpaBalemu p ʃ i [end]	[start] MonpaBalemu p ʃ i [end]
[start] MonpaBalemu l a m [end]	[start] MonpaBalemu l a m [end]
[start] MonpaDirang dʒ a ŋ [end]	[start] MonpaDirang dʒ a ŋ [end]
[start] MonpaDirang n a n [end]	[start] MonpaDirang n a n [end]
[start] MonpaDirang n a n [end]	[start] MonpaDirang n a n [end]
[start] MonpaDirang kʰ a ŋ z i [end]	[start] MonpaDirang kʰ a ŋ tʃ i l a [end]
[start] MonpaDirang b e j a ŋ [end]	[start] MonpaDirang b e ŋ ɾ a [end]
[start] MonpaDirang l e i s i [end]	[start] MonpaDirang l e s i [end]
[start] MonpaDirang o m ʃ a [end]	[start] MonpaDirang o m ʃ a [end]
[start] MonpaDirang t a ŋ p u [end]	[start] MonpaDirang t a ŋ p u [end]
[start] MonpaDirang tʃʰ a ŋ l u ŋ [end]	[start] MonpaDirang tʃʰ a ŋ l u [end]
[start] MonpaDirang l u s p u [end]	[start] MonpaDirang l u s p u [end]
[start] MonpaDirang kʰ a ŋ [end]	[start] MonpaDirang kʰ a ŋ [end]
[start] MonpaDirang l i [end]	[start] MonpaDirang l i [end]
[start] MonpaDirang m u m b a t i [end]	[start] MonpaDirang m u m b a t i [end]
[start] MonpaDirang ɲ a m b u [end]	[start] MonpaDirang n a m b u [end]
[start] MonpaDirang g a m tʰ u [end]	[start] MonpaDirang g a m tʰ i [end]
[start] MonpaDirang kʰ a m u [end]	[start] MonpaDirang kʰ a u [end]
[start] MonpaDirang m u k p a [end]	[start] MonpaDirang m ŭ k p a [end]
[start] MonpaDirang pʰ i n a ŋ [end]	[start] MonpaDirang pʰ i n t a ŋ [end]
[start] MonpaDirang z a m ʃ u [end]	[start] MonpaDirang z a m ĭ n [end]
[start] MonpaDirang g a ʃ a [end]	[start] MonpaDirang g a ʃ a [end]
[start] MonpaDirang kʰ u [end]	[start] MonpaDirang kʰ u [end]
[start] MonpaDirang k o t a ŋ [end]	[start] MonpaDirang k o t a ŋ [end]
[start] MonpaDirang g o i tʰ a m [end]	[start] MonpaDirang g o i tʰ a m [end]
[start] MonpaDirang b a n d o [end]	[start] MonpaDirang b a n tʰ u [end]
[start] MonpaDirang j e n [end]	[start] MonpaDirang j e n [end]
[start] MonpaDirang a n a [end]	[start] MonpaDirang a n a [end]
[start] MonpaDirang s o ŋ tʰ u r [end]	[start] MonpaDirang s o ŋ tʰ u r [end]
[start] MonpaDirang t̪ʰ o ŋ p a [end]	[start] MonpaDirang t o ŋ p a [end]
[start] MonpaDirang ɲ i ɾ i [end]	[start] MonpaDirang ɲ i ɾ i [end]
[start] MonpaDirang m i ŋ [end]	[start] MonpaDirang m i ŋ [end]
[start] MonpaDirang tʰ a ɾ i ŋ b u [end]	[start] MonpaDirang dʒ a ŋ ɾ i ŋ b u [end]
[start] MonpaDirang dʒ o k p u [end]	[start] MonpaDirang dʒ o k p u [end]
[start] MonpaDirang s i [end]	[start] MonpaDirang s i [end]
[start] MonpaDirang a p a [end]	[start] MonpaDirang a p a [end]
[start] MonpaDirang m i [end]	[start] MonpaDirang m i [end]
[start] MonpaDirang ŋ a [end]	[start] MonpaDirang ŋ a [end]
[start] MonpaDirang ŋ a [end]	[start] MonpaDirang ŋ a [end]
[start] MonpaDirang m o m n a ŋ [end]	[start] MonpaDirang m o m n a ŋ [end]
[start] MonpaDirang b ʃ i [end]	[start] MonpaDirang p ʃ i [end]
[start] MonpaDirang l a m [end]	[start] MonpaDirang l a m [end]
[start] MonpaDirangDum dʒ a ŋ [end]	[start] MonpaDirangDum dʒ a ŋ [end]
[start] MonpaDirangDum n a n [end]	[start] MonpaDirangDum n a n [end]
[start] MonpaDirangDum n a n [end]	[start] MonpaDirangDum n a n [end]
[start] MonpaDirangDum kʰ a ŋ z i [end]	[start] MonpaDirangDum kʰ a ŋ tʃ i l a [end]
[start] MonpaDirangDum b e j a ŋ [end]	[start] MonpaDirangDum b i j a ŋ ɾ a [end]
[start] MonpaDirangDum l e s i [end]	[start] MonpaDirangDum l e i s i [end]
[start] MonpaDirangDum o m ʃ a [end]	[start] MonpaDirangDum o m ʃ a [end]
[start] MonpaDirangDum t a ŋ p u [end]	[start] MonpaDirangDum t a ŋ p u [end]
[start] MonpaDirangDum tʃʰ a ŋ l u [end]	[start] MonpaDirangDum tʃʰ a ŋ l u [end]
[start] MonpaDirangDum l u s p u [end]	[start] MonpaDirangDum l u s p u [end]
