Predicted	Actual
[start] 1 ɲ a m a [end]	[start] 1 ɲ a m a [end]
[start] 1 a n a [end]	[start] 1 a a n a [end]
[start] 1 n w á á [end]	[start] 1 ŋ w a a [end]
[start] 1 ɔ m a m a [end]	[start] 1 ŋ ɔ m a [end]
[start] 1 dʒ a l a [end]	[start] 1 z a l a [end]
[start] 1 i ɲ a [end]	[start] 1 l ìì n a [end]
[start] 1 s ɔ n i [end]	[start] 1 s ɔ n i [end]
[start] 1 l i m a [end]	[start] 1 l i m a [end]
[start] 1 n ɛ ɛ [end]	[start] 1 n ɛ [end]
[start] 1 k a ŋ g a [end]	[start] 1 k a l a a ŋ g a [end]
[start] 1 f u l a [end]	[start] 1 b u l a [end]
[start] 1 t u m a [end]	[start] 1 t ʊ m a [end]
[start] 1 z i m a [end]	[start] 1 i m b a [end]
[start] 1 k u m i [end]	[start] 1 k ʊ m i [end]
[start] 1 β i s i [end]	[start] 1 β i s i [end]
[start] 1 ɲ u n i [end]	[start] 1 n ɔ n i [end]
[start] 1 b ɛ l ɛ [end]	[start] 1 β ɛ ɛ l ɛ [end]
[start] 1 g ɔ m b ɛ [end]	[start] 1 ŋ ɔ ɔ m b ɛ [end]
[start] 1 g a β a [end]	[start] 1 g a β a [end]
[start] 1 f w a [end]	[start] 1 b w a a [end]
[start] 1 s i m a a [end]	[start] 1 z i m a [end]
[start] 1 g w a [end]	[start] 1 g w a [end]
[start] 1 t w e [end]	[start] 1 t w ɛ ɛ [end]
[start] 1 β u u m b a [end]	[start] 1 β ʊ ʊ m b a [end]
[start] 1 β ɔ l a [end]	[start] 1 β ɔ l a [end]
[start] 1 z ɔ k a [end]	[start] 1 z ɔ k a [end]
[start] 1 i β a [end]	[start] 1 i β a [end]
[start] 1 g ɛ n i [end]	[start] 1 g ɛ n i [end]
[start] 1 l a m i [end]	[start] 1 d i m i [end]
[start] 1 i ŋʰ ɔ [end]	[start] 1 i n ɔ [end]
[start] 1 s ʊ l ʊ l a [end]	[start] 1 g ʊ l ʊ̀ [end]
[start] 1 f i k a [end]	[start] 1 ʃ i k a [end]
[start] 1 g ɔ ŋ g ɔ [end]	[start] 1 g ɔ ɔ ŋ g ɔ [end]
[start] 1 l ɔ g a [end]	[start] 1 l ɔ g a [end]
[start] 1 ɔ ŋ g ɔ [end]	[start] 1 ɔ ŋ g ɔ [end]
[start] 1 r ɛ r a [end]	[start] 1 l ɛ l a [end]
[start] 1 k a l a [end]	[start] 1 k a l a [end]
[start] 1 l i l a [end]	[start] 1 l i l a [end]
[start] 1 β i n a [end]	[start] 1 f u n a [end]
[start] 1 ɲ a á g a [end]	[start] 1 ɲ a [end]
[start] 1 l j a [end]	[start] 1 l j a a [end]
[start] 1 n a á n a [end]	[start] 1 n a á n ɛ [end]
[start] 1 dʒ ɔ f u [end]	[start] 1 z ɔ v u [end]
[start] 1 i s ɔ [end]	[start] 1 i s ɔ [end]
[start] 1 t a á n d ɔ [end]	[start] 1 t a a n ɔ [end]
[start] 1 g ɔ k ɔ [end]	[start] 1 g ɔ k ɔ [end]
